n,threads,tempo
10000,2,0.003553
1010000,2,0.000647
2010000,2,0.000875
3010000,2,0.001270
4010000,2,0.001676
5010000,2,0.001813
6010000,2,0.002325
7010000,2,0.002867
8010000,2,0.003321
9010000,2,0.003967
10000,4,0.000373
1010000,4,0.000488
2010000,4,0.000661
3010000,4,0.000995
4010000,4,0.001504
5010000,4,0.001606
6010000,4,0.001844
7010000,4,0.002790
8010000,4,0.002470
9010000,4,0.003729
10000,6,0.000412
1010000,6,0.000510
2010000,6,0.000693
3010000,6,0.000988
4010000,6,0.001619
5010000,6,0.001619
6010000,6,0.001762
7010000,6,0.002367
8010000,6,0.002357
9010000,6,0.002586
10000,8,0.000408
1010000,8,0.000548
2010000,8,0.000674
3010000,8,0.000896
4010000,8,0.001102
5010000,8,0.001712
6010000,8,0.001742
7010000,8,0.002003
8010000,8,0.002506
9010000,8,0.002641
